NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07158151,A Phase II Trial of the Safety and Efficacy of RSS0309 Ointment in Adults With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT07158151,NOT_YET_RECRUITING,Atopic Dermatitis of Adults,DRUG: RSS0393 ointment|DRUG: RSS0393 ointment|DRUG: RSS0393 ointment|DRUG: RSS0393 ointment,Reistone Biopharma Company Limited,,INTERVENTIONAL,"Dermatology Hospital of Southern Medical University, Guangzhou, Guangdong, 510091, China"
NCT07158138,A Digitally Distributed Yoga Intervention in Prostate Cancer Rehabilitation : Protocol for a Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07158138,NOT_YET_RECRUITING,Prostate Cancer Patients,OTHER: Digital yoga intervention,Region Örebro County,,INTERVENTIONAL,"University Health Care Center, Örebro, Region Örebro County, 70185, Sweden"
NCT07158125,Pathogenesis of Periodontal Disease in Individuals With Psoriasis,https://clinicaltrials.gov/study/NCT07158125,NOT_YET_RECRUITING,Psoriasis,,Recep Tayyip Erdogan University Training and Research Hospital,,OBSERVATIONAL,"Department of Periodontology of the Faculty of Dentistry of Recep Tayyip Erdogan University, Rize, Rize Province, 53200, Turkey (Türkiye)"
NCT07158112,Assessing Gingivitis and Plaque From a Marketed Toothpaste,https://clinicaltrials.gov/study/NCT07158112,RECRUITING,Gingivitis,DRUG: Stannous Fluoride Dentifrice|DRUG: Test Stannous Fluoride Dentifrice|DRUG: Sodium monofluorophosphate dentifrice,Procter and Gamble,,INTERVENTIONAL,"University Health Resources Group, Whittier, California, 90602, United States"
NCT07158099,Bioequivalence Study of WP205 in Healthy Subjects,https://clinicaltrials.gov/study/NCT07158099,NOT_YET_RECRUITING,"Therapeutic Equivalency, Healthy",DRUG: Methylconalamin Injection(WP205)|DRUG: Methylconalamin for Injection,"Wanbangde Pharmaceutical Group Co., LTD",,INTERVENTIONAL,
NCT07158086,"Molecular Underpinnings of Heart Failure, Integrative Multi-Omics, and Non-Coding RNA Profiling",https://clinicaltrials.gov/study/NCT07158086,NOT_YET_RECRUITING,"Heart Failure|Heart Failure (for Example, Fluid Overload)",,University of Zurich,,OBSERVATIONAL,"University Hospital of Zurich, Zurich, 8091, Switzerland"
NCT07158073,Effect of ORI-guided Oxygen Titration on Oxidative Stress in Rhinoplasty Surgery,https://clinicaltrials.gov/study/NCT07158073,COMPLETED,Rhinoplasty|Oxidative Stress|Hyperoxia|Oxygen Reserve Index,"DEVICE: FiO₂ titration, under the guidance of ORI|DEVICE: Conventional oxygen administration",Dr. Lutfi Kirdar Kartal Training and Research Hospital,,INTERVENTIONAL,"Kartal Dr. Lütfi Kırdar City Hospital, Istanbul, kartal, 34862, Turkey (Türkiye)"
NCT07158060,"The Effects of Breathing Exercises on Exam Anxiety, Attention Deficit, and Academic Achievement in Students Preparing for University Entrance Exams",https://clinicaltrials.gov/study/NCT07158060,NOT_YET_RECRUITING,Academic Acheivement|Attention|Exam Anxiety|Breathing Exercises|Students,BEHAVIORAL: Breathing Exercises,Istanbul University - Cerrahpasa,,INTERVENTIONAL,
NCT07158047,Repeated Far Infrared Sauna Bathing in Adults With Obesity,https://clinicaltrials.gov/study/NCT07158047,RECRUITING,Obesity (Disorder),OTHER: Heat therapy,University of Oregon,,INTERVENTIONAL,"University of Oregon, Eugene, Oregon, 97401, United States"
NCT07158034,Investigating EEG as a Biomarker for Tinnitus Improvement After Bimodal Stimulation,https://clinicaltrials.gov/study/NCT07158034,NOT_YET_RECRUITING,Tinnitus,DEVICE: Lenire Device,University of Minnesota,,INTERVENTIONAL,"University of Minnesota, Minneapolis, Minnesota, 55455, United States"
NCT07158021,"Leuprolide and Goserelin for Ovarian Function Suppression in Pre- or Peri-menopausal Women With Breast Cancer, OFS Trial",https://clinicaltrials.gov/study/NCT07158021,NOT_YET_RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Breast Carcinoma,PROCEDURE: Biospecimen Collection|OTHER: Electronic Health Record Review|DRUG: Goserelin|DRUG: Leuprolide|OTHER: Questionnaire Administration,University of Michigan Rogel Cancer Center,,INTERVENTIONAL,"University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, 48109, United States"
NCT07158008,Comparison of Nissen-Sleeve and Gastric Bypass for GERD in Obese Patients,https://clinicaltrials.gov/study/NCT07158008,RECRUITING,Gastro Esophageal Reflux|Severe Obesity|Bariatric Surgery,PROCEDURE: Nissen-Sleeve Gastrectomy (N-SG)|PROCEDURE: Roux-en-Y Gastric Bypass (RYGB)|PROCEDURE: Sleeve Gastrectomy (SG),Jagiellonian University,,INTERVENTIONAL,"Szpital Uniwersytecki w Krakowie, Krakow, 30-688, Poland"
NCT07157995,Phase 4 of Designed With You,https://clinicaltrials.gov/study/NCT07157995,NOT_YET_RECRUITING,Disability Physical,BEHAVIORAL: BALANCE Building Active LIving and Addressing Needs for Caregiver Empowerment,Johns Hopkins University,"National Institute on Disability, Independent Living, and Rehabilitation Research",INTERVENTIONAL,
NCT07157982,Living With Multimorbidity: Care Coordination and Symptom Management Program (COORDINATE),https://clinicaltrials.gov/study/NCT07157982,NOT_YET_RECRUITING,Multimorbidity,BEHAVIORAL: COORDINATE Program|BEHAVIORAL: Enhanced Usual Care,Johns Hopkins University,,INTERVENTIONAL,"Johns Hopkins Health System, Baltimore, Maryland, 21205, United States"
NCT07157969,PD-1 Inhibitors Combined With Targeted Therapy With or Without Interventional Therapy for Advanced HCC,https://clinicaltrials.gov/study/NCT07157969,RECRUITING,HCC - Hepatocellular Carcinoma,DRUG: Lenvatinib|DRUG: Pembrolizumab|DRUG: Atezolizumab|DRUG: Bevacizumab|DRUG: Camrelizumab|DRUG: Apatinib|PROCEDURE: TACE|PROCEDURE: HAIC|PROCEDURE: DEB-TACE,Peking Union Medical College Hospital,,INTERVENTIONAL,"Peking Union Medical College Hospital, Beijing, China"
NCT07157956,CVL006 Combination Therapy in Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT07157956,NOT_YET_RECRUITING,Advanced Solid Tumor,DRUG: CVL006 combined with pemetrexed and carboplatin|DRUG: CVL006 in combination with SKB264|DRUG: CVL006 in combination with DS-8201|DRUG: CVL006 in combination with Enfortumab Vedotin,"Convalife (Shanghai) Co., Ltd.",,INTERVENTIONAL,"Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, 510060, China"
NCT07157943,"Comparison of Two Artificial Intelligence Scribe Products on Pediatric Subspecialty Provider Wellness and Experience, Patient Satisfaction, and Efficiency.",https://clinicaltrials.gov/study/NCT07157943,ACTIVE_NOT_RECRUITING,Burnout,OTHER: Abridge AI Scribe|OTHER: DAX Copilot,Children's Healthcare of Atlanta,,INTERVENTIONAL,"Children's Healthcare of Atlanta, Atlanta, Georgia, 30329, United States"
NCT07157930,Prenatal Hormonal Markers and Sleep Characteristics in Young Adults With Joint Hypermobility,https://clinicaltrials.gov/study/NCT07157930,ENROLLING_BY_INVITATION,Joint Hypermobility|Healty Controls|Sleep|Androgen Effect|Hormonal,BEHAVIORAL: The Beighton Scoring system|BEHAVIORAL: 2D:4D Digit Ratio|BEHAVIORAL: Pittsburgh Sleep Quality Index,Nigde Omer Halisdemir University,,OBSERVATIONAL,"Nigde Omer Halisdemir University, Niğde, Turkey (Türkiye)"
NCT07157917,Thirst Translation and RCT,https://clinicaltrials.gov/study/NCT07157917,NOT_YET_RECRUITING,Thirst in Intensive Care Unit (ICU) Practice,OTHER: Protocol based|OTHER: Control,National Taiwan University,,INTERVENTIONAL,
NCT07157904,Evaluation of PATHFAST-LAM as a Tuberculosis Treatment Monitoring Tool in Kenya,https://clinicaltrials.gov/study/NCT07157904,NOT_YET_RECRUITING,Tuberculosis|Pulmonary Tuberculoses|Mycobacterium Tuberculosis,,Nagasaki University,,OBSERVATIONAL,"Mbagathi County Referral Hospital, Nairobi, Kenya|Rhodes Chest Clinic, Nairobi, Kenya"
NCT07157891,Investigating the Safety and Regenerative Potential of MSC-Derived Secretome Combined With PRGF in Knee Osteoarthritis,https://clinicaltrials.gov/study/NCT07157891,NOT_YET_RECRUITING,Osteoarthritis (OA)|Knee Injury|Cartilage Degeneration,BIOLOGICAL: MSC-Derived Secretome|BIOLOGICAL: MSC-Derived Secretome + Autologous PRGF,University of the Punjab,"Centre of Excellence in Molecular Biology (CEMB), University of the Punjab, Lahore.",INTERVENTIONAL,
NCT07157878,Gingival Crevicular Fluid Oxidized Low-Density Lipoprotein Levels in Health and Stage III/IV Periodontitis,https://clinicaltrials.gov/study/NCT07157878,NOT_YET_RECRUITING,Periodontal Diseases|LDL Hyperlipoproteinemia,,shaimaa hamdy,,OBSERVATIONAL,
NCT07157865,Comparing Prism Adaptation Training With and Without TENS to Minimize Unilateral Spatial Neglect,https://clinicaltrials.gov/study/NCT07157865,NOT_YET_RECRUITING,Unilateral Spatial Neglect|Stroke,DEVICE: Prism adaptation training combined with TENS|OTHER: PAT only,Kettering Health Network,,INTERVENTIONAL,"Kettering Health NeuroRehab and Balance Center, Centerville, Ohio, 45459, United States"
NCT07157852,The Efficacy and Safety of Pregabalin and Mirogabalin in Patients With Fibromyalgia,https://clinicaltrials.gov/study/NCT07157852,RECRUITING,Fibromyalgia|Pregabalin|Mirogabalin|Pain,DRUG: Mirogabalin|DRUG: Pregabalin,Beijing Tiantan Hospital,Second Affiliated Hospital of Nanchang University|Chongqing Three Gorges Central Hospital,INTERVENTIONAL,"Beijing Tiantan Hospital, Beijing, Beijing 100070, Beijing, China"
NCT07157839,Phosphorylated Tau Levels in Donated Blood,https://clinicaltrials.gov/study/NCT07157839,RECRUITING,Alzheimer&Amp;#39;s Disease,,"The University of Texas Health Science Center, Houston",National Institute on Aging (NIA),OBSERVATIONAL,"University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States"
NCT07157826,The Effect of Guided Imagery on Bariatric Surgery Patients,https://clinicaltrials.gov/study/NCT07157826,NOT_YET_RECRUITING,Bariatric Surgery,DEVICE: Guided Imagery Application,Ataturk University,,INTERVENTIONAL,"Atatürk University, Erzurum, Palandöken, 25000, Turkey (Türkiye)"
NCT07157813,Improving Lifestyle Habits and Metabolic Health in Forensic Psychiatric Patients,https://clinicaltrials.gov/study/NCT07157813,NOT_YET_RECRUITING,Forensic Psychiatric Patients|Cardio Vascular Disease|Health Promotion,BEHAVIORAL: Structured Health Dialogue,Kronoberg County Council,,INTERVENTIONAL,"Regional Forensic Psychiatric Clinic, Växjö, Vaxjo, Kronoberg County, Sweden"
NCT07157800,Effectiveness of Exercises Given Along With Ergonomics Training in Construction Workers,https://clinicaltrials.gov/study/NCT07157800,NOT_YET_RECRUITING,Work-related Illness,OTHER: ergonomics training|OTHER: exercise + ergonomics training,Uskudar University,,INTERVENTIONAL,"Building, Balıkesir, Edremit, Turkey (Türkiye)"
NCT07157787,Study of ALXN1920 in Adult Participants With Primary Membranous Nephropathy (PMN),https://clinicaltrials.gov/study/NCT07157787,NOT_YET_RECRUITING,Primary Membranous Nephropathy,DRUG: ALXN1920|DRUG: Placebo,"Alexion Pharmaceuticals, Inc.",AstraZeneca,INTERVENTIONAL,"Research Site, San Diego, California, 92123, United States|Research Site, Minneapolis, Minnesota, 55435, United States|Research Site, Rochester, Minnesota, 55905, United States|Research Site, Houston, Texas, 77030, United States|Research Site, CABA, C1425AGC, Argentina|Research Site, Ciudad de Buenos Aires, 1280, Argentina|Research Site, Rosario, 2000, Argentina|Research Site, Santa Fe, S3000EOZ, Argentina|Research Site, Santa Fe, S3000, Argentina|Research Site, Gosford, 2250, Australia|Research Site, Parkville, 3050, Australia|Research Site, Southport, 4222, Australia|Research Site, Recife, 50670-901, Brazil|Research Site, Salvador, 40301-155, Brazil|Research Site, São Paulo, 04038-002, Brazil|Research Site, São Paulo, 05403-000, Brazil|Research Site, Créteil, 94010, France|Research Site, Nice, 06000, France|Research Site, Toulouse, 31059, France|Research Site, Milan, 20122, Italy|Research Site, Milan, 20156, Italy|Research Site, Torrette, 60126, Italy|Research Site, Barcelona, 08025, Spain|Research Site, Madrid, 28007, Spain|Research Site, Seville, 41013, Spain|Research Site, Toledo, 45007, Spain|Research Site, Kaohsiung City, 81362, Taiwan|Research Site, Taichung, 40705, Taiwan|Research Site, Taoyuan District, 333, Taiwan|Research Site, Cambridge, CB2 0XY, United Kingdom|Research Site, Leicester, LE1 5WW, United Kingdom|Research Site, Salford, M6 8HD, United Kingdom"
